0,25,50,75,100,125,150,175
2916.9,2976.6,3160.4,3483.2,3983.2,4689.9,5688.9,7091.2
816.94,836.97,899.58,1013,1190.6,1460.5,1871.6,2518
2100,2139.6,2260.8,2470.2,2792.6,3229.4,3817.3,4573.2
15.172,15.119,14.955,14.673,14.323,13.816,13.168,12.325
2.5706,2.5564,2.5132,2.4385,2.3456,2.2111,2.0396,1.8162
0:Inaccurate/Solved
25:Solved
50:Solved
75:Solved
100:Solved
125:Solved
150:Solved
175:Solved

0,1,2,3,4,5,6,8
0,1,2,3,5,6,7,8
0,1,2,3,4,5,7,8
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,7,8
0,1,2,3,4,5,6,8
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,7,8
0,1,2,3,4,6,7,8
0,1,2,3,4,6,7,8
0,1,2,3,5,6,7,8
0,1,2,3,5,6,7,8
0,1,2,3,4,5,5,6
0,1,2,3,4,5,5,6
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,3,4,4,5
0,1,2,3,3,4,5,5
0,1,2,3,4,4,5,6
0,1,2,3,4,4,5,6
0,1,2,3,3,4,5,5
