0,25,50,75,100,125,150,175,200,225,250
3010.8,3792,4863.1,5747.8,6966.1,7971.3,9358.9,11582,15194,20749,41411
910.84,1183.9,1603.1,1979.7,2546.1,3043.2,3778.9,5494.3,8454.2,13501,33511
2100,2608.1,3260,3768.1,4420,4928.1,5580,6088.1,6740,7248.1,7900
14.172,13.785,13.145,12.654,12.023,11.583,11.044,9.6531,8.4802,7.4976,6.3613
2.3056,2.2029,2.0336,1.9033,1.736,1.6194,1.4766,1.1081,0.79724,0.53686,0.23574
0:Inaccurate/Solved
25:Solved
50:Solved
75:Solved
100:Solved
125:Solved
150:Solved
175:Solved
200:Solved
225:Solved
250:Solved

0,0,0,0,0,5,10,10,10,10,10
0,0,0,0,0,0,10,10,10,10,10
0,0,0,0,0,10,10,10,10,10,10
0,0,0,5,10,10,10,10,10,10,10
0,5,10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,10,10,10,10,10
0,0,0,0,0,10,10,10,10,10,10
0,0,0,0,10,10,10,10,10,10,10
0,0,0,10,10,10,10,10,10,10,10
0,0,10,10,10,10,10,10,10,10,10
0,0,0,0,10,10,10,10,10,10,10
0,0,0,10,10,10,10,10,10,10,10
0,0,10,10,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,5,10
0,0,0,0,0,0,0,0,0,10,10
0,0,0,0,0,0,0,0,10,10,10
0,0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,0,0,5,10,10,10
0,0,0,0,0,0,0,0,10,10,10
0,0,0,0,0,0,0,0,0,10,10
